alpha,gamma,epsilon,average_steps,average_rewards
0.1,0.9,0.1,255.0,0.0
0.1,0.9,0.2,15.89,0.9406210937499998
0.1,0.9,0.30000000000000004,42.45,0.8472460937500002
0.1,0.9,0.4,79.37,0.7114492187499999
0.1,0.9,0.5,10.83,0.9584101562499997
0.1,0.9,0.6,12.7,0.9518359375000002
0.1,0.9,0.7000000000000001,11.68,0.955421875
0.1,0.9,0.8,11.77,0.9551054687500001
0.1,0.9,0.9,11.87,0.95475390625
0.2,0.9,0.1,255.0,0.0
0.2,0.9,0.2,51.29,0.8151679687499996
0.2,0.9,0.30000000000000004,13.31,0.94969140625
0.2,0.9,0.4,12.8,0.951484375
0.2,0.9,0.5,16.19,0.9395664062499997
0.2,0.9,0.6,12.11,0.9539101562500001
0.2,0.9,0.7000000000000001,12.02,0.9542265625
0.2,0.9,0.8,11.87,0.9547539062500001
0.2,0.9,0.9,11.8,0.955
0.30000000000000004,0.9,0.1,255.0,0.0
0.30000000000000004,0.9,0.2,19.39,0.9283164062499999
0.30000000000000004,0.9,0.30000000000000004,14.23,0.9464570312500001
0.30000000000000004,0.9,0.4,12.48,0.9526093750000001
0.30000000000000004,0.9,0.5,12.59,0.95222265625
0.30000000000000004,0.9,0.6,12.16,0.9537343749999999
0.30000000000000004,0.9,0.7000000000000001,11.82,0.9549296875000002
0.30000000000000004,0.9,0.8,11.83,0.9548945312500001
0.30000000000000004,0.9,0.9,11.64,0.9555625000000001
0.4,0.9,0.1,255.0,0.0
0.4,0.9,0.2,21.77,0.91994921875
0.4,0.9,0.30000000000000004,13.19,0.95011328125
0.4,0.9,0.4,12.3,0.9532421874999999
0.4,0.9,0.5,11.79,0.9550351562500002
0.4,0.9,0.6,12.03,0.95419140625
0.4,0.9,0.7000000000000001,11.73,0.9552460937500001
0.4,0.9,0.8,11.91,0.9546132812500001
0.4,0.9,0.9,11.57,0.9558085937500002
0.5,0.9,0.1,255.0,0.0
0.5,0.9,0.2,22.39,0.9177695312499999
0.5,0.9,0.30000000000000004,12.17,0.9536992187500001
0.5,0.9,0.4,12.91,0.9510976562500001
0.5,0.9,0.5,12.86,0.9512734375
0.5,0.9,0.6,12.17,0.9536992187500001
0.5,0.9,0.7000000000000001,11.64,0.9555625000000002
0.5,0.9,0.8,11.62,0.9556328125
0.5,0.9,0.9,11.8,0.955
0.6,0.9,0.1,255.0,0.0
0.6,0.9,0.2,255.0,0.0
0.6,0.9,0.30000000000000004,14.65,0.94498046875
0.6,0.9,0.4,11.53,0.9559492187499999
0.6,0.9,0.5,11.82,0.9549296875000002
0.6,0.9,0.6,12.3,0.9532421875
0.6,0.9,0.7000000000000001,11.64,0.9555625000000001
0.6,0.9,0.8,11.85,0.95482421875
0.6,0.9,0.9,12.04,0.9541562499999999
0.7000000000000001,0.9,0.1,255.0,0.0
0.7000000000000001,0.9,0.2,13.37,0.9494804687499999
0.7000000000000001,0.9,0.30000000000000004,11.96,0.9544375
0.7000000000000001,0.9,0.4,11.76,0.955140625
0.7000000000000001,0.9,0.5,11.93,0.9545429687500001
0.7000000000000001,0.9,0.6,12.01,0.95426171875
0.7000000000000001,0.9,0.7000000000000001,11.67,0.95545703125
0.7000000000000001,0.9,0.8,11.85,0.95482421875
0.7000000000000001,0.9,0.9,11.91,0.9546132812500001
0.8,0.9,0.1,255.0,0.0
0.8,0.9,0.2,12.55,0.9523632812500001
0.8,0.9,0.30000000000000004,13.06,0.9505703125000001
0.8,0.9,0.4,11.99,0.9543320312500001
0.8,0.9,0.5,11.9,0.9546484375
0.8,0.9,0.6,12.01,0.9542617187500001
0.8,0.9,0.7000000000000001,11.81,0.9549648437500001
0.8,0.9,0.8,11.98,0.9543671874999999
0.8,0.9,0.9,12.13,0.95383984375
0.9,0.9,0.1,255.0,0.0
0.9,0.9,0.2,12.97,0.9508867187499999
0.9,0.9,0.30000000000000004,12.61,0.9521523437500001
0.9,0.9,0.4,11.9,0.9546484375
0.9,0.9,0.5,12.07,0.95405078125
0.9,0.9,0.6,12.03,0.95419140625
0.9,0.9,0.7000000000000001,11.87,0.95475390625
0.9,0.9,0.8,11.87,0.95475390625
0.9,0.9,0.9,11.87,0.95475390625
best_alpha,best_gamma,best_epsilon,best_average_steps,best_average_rewards
0.1,0.9,0.5,10.83,0.9584101562499997
