alpha,gamma,epsilon,average_steps,average_rewards
0.1,0.9,0.1,12.78,0.9515546875000002
0.1,0.9,0.2,11.87,0.95475390625
0.1,0.9,0.30000000000000004,13.71,0.94828515625
0.1,0.9,0.4,11.71,0.9553164062499999
0.1,0.9,0.5,12.9,0.9511328125
0.1,0.9,0.6,12.45,0.9527148437499998
0.1,0.9,0.7000000000000001,12.6,0.9521875000000002
0.1,0.9,0.8,13.98,0.9473359375
0.1,0.9,0.9,13.26,0.9498671875000001
0.2,0.9,0.1,13.16,0.9502187500000001
0.2,0.9,0.2,13.15,0.95025390625
0.2,0.9,0.30000000000000004,12.86,0.9512734374999999
0.2,0.9,0.4,13.19,0.95011328125
0.2,0.9,0.5,13.14,0.9502890625
0.2,0.9,0.6,12.06,0.9540859374999999
0.2,0.9,0.7000000000000001,13.08,0.9505
0.2,0.9,0.8,12.53,0.9524335937499998
0.2,0.9,0.9,13.27,0.9498320312499999
0.30000000000000004,0.9,0.1,13.29,0.94976171875
0.30000000000000004,0.9,0.2,11.97,0.9544023437499999
0.30000000000000004,0.9,0.30000000000000004,11.92,0.954578125
0.30000000000000004,0.9,0.4,13.34,0.9495859374999999
0.30000000000000004,0.9,0.5,12.07,0.95405078125
0.30000000000000004,0.9,0.6,12.72,0.9517656249999998
0.30000000000000004,0.9,0.7000000000000001,13.28,0.949796875
0.30000000000000004,0.9,0.8,13.07,0.9505351562499998
0.30000000000000004,0.9,0.9,13.89,0.9476523437500001
0.4,0.9,0.1,12.49,0.9525742187499999
0.4,0.9,0.2,12.7,0.9518359375
0.4,0.9,0.30000000000000004,12.06,0.9540859375
0.4,0.9,0.4,11.9,0.9546484375
0.4,0.9,0.5,13.13,0.9503242187500001
0.4,0.9,0.6,12.64,0.9520468750000001
0.4,0.9,0.7000000000000001,13.12,0.950359375
0.4,0.9,0.8,13.13,0.9503242187499998
0.4,0.9,0.9,13.51,0.9489882812500002
0.5,0.9,0.1,13.53,0.94891796875
0.5,0.9,0.2,11.78,0.9550703125000001
0.5,0.9,0.30000000000000004,11.65,0.9555273437500001
0.5,0.9,0.4,13.5,0.9490234374999998
0.5,0.9,0.5,12.21,0.9535585937500001
0.5,0.9,0.6,12.74,0.9516953125000002
0.5,0.9,0.7000000000000001,13.18,0.9501484375
0.5,0.9,0.8,13.14,0.9502890624999999
0.5,0.9,0.9,13.48,0.9490937500000001
0.6,0.9,0.1,13.46,0.9491640625000001
0.6,0.9,0.2,12.01,0.9542617187500001
0.6,0.9,0.30000000000000004,11.98,0.9543671874999999
0.6,0.9,0.4,11.82,0.9549296874999998
0.6,0.9,0.5,12.0,0.954296875
0.6,0.9,0.6,12.5,0.9525390625
0.6,0.9,0.7000000000000001,12.93,0.9510273437500001
0.6,0.9,0.8,13.02,0.9507109375
0.6,0.9,0.9,13.17,0.9501835937500002
0.7000000000000001,0.9,0.1,12.42,0.9528203125
0.7000000000000001,0.9,0.2,12.52,0.95246875
0.7000000000000001,0.9,0.30000000000000004,11.94,0.9545078125
0.7000000000000001,0.9,0.4,11.9,0.9546484375000002
0.7000000000000001,0.9,0.5,11.95,0.95447265625
0.7000000000000001,0.9,0.6,12.74,0.9516953125000002
0.7000000000000001,0.9,0.7000000000000001,12.75,0.9516601562500001
0.7000000000000001,0.9,0.8,13.16,0.9502187500000001
0.7000000000000001,0.9,0.9,13.48,0.94909375
0.8,0.9,0.1,12.93,0.9510273437499999
0.8,0.9,0.2,12.12,0.953875
0.8,0.9,0.30000000000000004,11.72,0.9552812500000001
0.8,0.9,0.4,12.01,0.9542617187500001
0.8,0.9,0.5,12.23,0.95348828125
0.8,0.9,0.6,12.82,0.9514140624999999
0.8,0.9,0.7000000000000001,12.67,0.95194140625
0.8,0.9,0.8,12.99,0.9508164062500001
0.8,0.9,0.9,13.42,0.9493046874999999
0.9,0.9,0.1,12.7,0.9518359375
0.9,0.9,0.2,12.09,0.9539804687499999
0.9,0.9,0.30000000000000004,12.98,0.9508515625000001
0.9,0.9,0.4,12.03,0.9541914062500001
0.9,0.9,0.5,12.46,0.9526796875000001
0.9,0.9,0.6,12.66,0.9519765625
0.9,0.9,0.7000000000000001,13.86,0.9477578125000001
0.9,0.9,0.8,13.39,0.9494101562500002
0.9,0.9,0.9,14.0,0.947265625
best_alpha,best_gamma,best_epsilon,best_average_steps,best_average_rewards
0.5,0.9,0.30000000000000004,11.65,0.9555273437500001
