alpha,gamma,epsilon,average_steps,average_rewards
0.1,0.9,0.1,35.98,0.8715078125000001
0.1,0.9,0.2,16.22,0.9429765625000001
0.1,0.9,0.30000000000000004,17.31,0.93914453125
0.1,0.9,0.4,13.94,0.9509921875
0.1,0.9,0.5,16.4,0.94234375
0.1,0.9,0.6,13.68,0.95190625
0.1,0.9,0.7000000000000001,13.43,0.9527851562500002
0.1,0.9,0.8,14.03,0.9506757812500001
0.1,0.9,0.9,14.14,0.9502890624999999
0.2,0.9,0.1,18.98,0.9332734375
0.2,0.9,0.2,15.18,0.9466328125000001
0.2,0.9,0.30000000000000004,13.89,0.9511679687500002
0.2,0.9,0.4,12.82,0.9549296875000002
0.2,0.9,0.5,13.18,0.9536640625000001
0.2,0.9,0.6,13.61,0.9521523437500001
0.2,0.9,0.7000000000000001,13.64,0.9520468750000002
0.2,0.9,0.8,13.96,0.9509218750000001
0.2,0.9,0.9,14.34,0.9495859375000002
0.30000000000000004,0.9,0.1,18.47,0.93506640625
0.30000000000000004,0.9,0.2,13.21,0.95355859375
0.30000000000000004,0.9,0.30000000000000004,12.99,0.9543320312500001
0.30000000000000004,0.9,0.4,14.33,0.9496210937500001
0.30000000000000004,0.9,0.5,13.36,0.95303125
0.30000000000000004,0.9,0.6,13.8,0.9514843750000002
0.30000000000000004,0.9,0.7000000000000001,14.19,0.95011328125
0.30000000000000004,0.9,0.8,14.55,0.9488476562500001
0.30000000000000004,0.9,0.9,14.13,0.95032421875
0.4,0.9,0.1,20.3,0.9286328124999997
0.4,0.9,0.2,13.09,0.9539804687500001
0.4,0.9,0.30000000000000004,14.38,0.9494453125
0.4,0.9,0.4,13.13,0.9538398437500001
0.4,0.9,0.5,13.52,0.95246875
0.4,0.9,0.6,14.81,0.94793359375
0.4,0.9,0.7000000000000001,14.22,0.9500078124999999
0.4,0.9,0.8,15.58,0.9452265624999999
0.4,0.9,0.9,15.09,0.94694921875
0.5,0.9,0.1,15.78,0.9445234375000001
0.5,0.9,0.2,13.74,0.9516953125000001
0.5,0.9,0.30000000000000004,13.67,0.95194140625
0.5,0.9,0.4,13.6,0.9521875000000002
0.5,0.9,0.5,14.85,0.9477929687500002
0.5,0.9,0.6,13.99,0.9508164062500001
0.5,0.9,0.7000000000000001,14.35,0.9495507812500001
0.5,0.9,0.8,16.07,0.94350390625
0.5,0.9,0.9,16.45,0.9421679687500003
0.6,0.9,0.1,14.96,0.9474062500000001
0.6,0.9,0.2,16.79,0.94097265625
0.6,0.9,0.30000000000000004,16.05,0.94357421875
0.6,0.9,0.4,14.18,0.9501484375000001
0.6,0.9,0.5,15.45,0.9456835937500001
0.6,0.9,0.6,15.43,0.94575390625
0.6,0.9,0.7000000000000001,15.32,0.9461406250000001
0.6,0.9,0.8,14.81,0.9479335937500001
0.6,0.9,0.9,16.93,0.94048046875
0.7000000000000001,0.9,0.1,18.03,0.9366132812500004
0.7000000000000001,0.9,0.2,15.08,0.9469843749999999
0.7000000000000001,0.9,0.30000000000000004,14.85,0.94779296875
0.7000000000000001,0.9,0.4,14.21,0.95004296875
0.7000000000000001,0.9,0.5,16.07,0.9435039062499999
0.7000000000000001,0.9,0.6,16.87,0.94069140625
0.7000000000000001,0.9,0.7000000000000001,19.94,0.9298984375
0.7000000000000001,0.9,0.8,17.18,0.9396015624999998
0.7000000000000001,0.9,0.9,16.33,0.9425898437500002
0.8,0.9,0.1,20.27,0.9287382812499999
0.8,0.9,0.2,17.15,0.9397070312500001
0.8,0.9,0.30000000000000004,17.35,0.9390039062500002
0.8,0.9,0.4,16.53,0.9418867187500001
0.8,0.9,0.5,17.48,0.938546875
0.8,0.9,0.6,21.93,0.92290234375
0.8,0.9,0.7000000000000001,16.81,0.9409023437500003
0.8,0.9,0.8,18.18,0.9360859375
0.8,0.9,0.9,19.27,0.93225390625
0.9,0.9,0.1,16.87,0.94069140625
0.9,0.9,0.2,17.51,0.9384414062500003
0.9,0.9,0.30000000000000004,17.93,0.9369648437499998
0.9,0.9,0.4,18.09,0.9364023437499999
0.9,0.9,0.5,19.75,0.9305664062500001
0.9,0.9,0.6,22.33,0.9214960937500001
0.9,0.9,0.7000000000000001,22.12,0.9222343750000002
0.9,0.9,0.8,27.72,0.9025468749999999
0.9,0.9,0.9,23.99,0.9156601562500001
best_alpha,best_gamma,best_epsilon,best_average_steps,best_average_rewards
0.2,0.9,0.4,12.82,0.9549296875000002
